site;owner;nickname
http://blog.robin.smidsrod.no/;"Robin Smidsrød";robinsmidsrod
http://warthog9.dreamwidth.org/;"John Hawley";warthog9
http://blogoless.blogspot.it/;"Al Cir";blogoless
http://cuddletech.com/blog/;"Ben Rockwood";benr
http://www.jukie.net/bart/blog;"Bart Trojanowski";bartman
http://blog.zorinaq.com/;"Marc Bevand";mrb
http://blog.devicenull.org;"Brian Rak";devicenull
http://nahamu.github.io/;"Nahum Shalman";nahamu
http://www.jbmurphy.com/;"Jeffrey B. Murphy";
http://braastad.org/blog/;"Espen Braastad";espebra
http://www.panticz.de/;"Pawel Konczalski";panticz
http://opusmagnus.wordpress.com/;"Magnus Hedemark";
http://rhevdup.blogspot.com/;"Crash";
http://broken.net/;"Jason Matthews";
http://blog.alainodea.com/;"Alain O'Dea";
http://jpmens.net/;"Jan-Piet Mens";jpmens
https://joshua.hoblitt.com/rtfm/;"Joshua Hoblitt";jhoblitt
